,date,deaths,date_clean,adjusted_approve,adjusted_disapprove,approve,disapprove,Day,Rolling Approval
86,2020-04-16,34418,2020-04-16,43.16881116666667,53.162467166666666,44.583333333333336,53.083333333333336,2020-04-16,44.583333333333336
87,2020-04-17,36707,2020-04-17,43.8357884,53.244548800000004,43.4,53.4,2020-04-17,43.4
88,2020-04-18,38659,2020-04-18,43.7772843,53.0936043,44.1,53.6,2020-04-18,44.1
89,2020-04-19,40179,2020-04-19,43.74110121428572,52.28997557142856,44.642857142857146,51.42857142857143,2020-04-19,44.642857142857146
90,2020-04-20,42016,2020-04-20,43.68218633333333,52.39258366666666,44.44444444444444,53.166666666666664,2020-04-20,44.44444444444444
91,2020-04-21,44688,2020-04-21,43.839732500000004,51.71262005,44.04,51.85,2020-04-21,44.04
92,2020-04-22,47059,2020-04-22,42.37032785714286,53.60768342857143,43.42857142857143,53.42857142857143,2020-04-22,43.42857142857143
93,2020-04-23,49228,2020-04-23,43.94175642857143,51.75054057142858,45.0,51.57142857142857,2020-04-23,45.0
94,2020-04-24,51360,2020-04-24,43.2033306,52.373897799999995,43.2,52.3,2020-04-24,43.2
95,2020-04-25,53326,2020-04-25,44.48206725000001,51.982879875,44.625,52.425,2020-04-25,44.625
96,2020-04-26,54580,2020-04-26,41.4100955,54.023808214285715,42.5,53.357142857142854,2020-04-26,42.5
97,2020-04-27,56022,2020-04-27,43.37032785714286,53.60768342857143,44.42857142857143,53.42857142857143,2020-04-27,44.42857142857143
98,2020-04-28,58416,2020-04-28,44.45875152941176,51.49953764705883,44.94117647058823,51.49411764705882,2020-04-28,44.94117647058823
99,2020-04-29,60930,2020-04-29,43.655734307692306,51.514889461538466,43.92307692307692,51.76923076923077,2020-04-29,43.92307692307692
100,2020-04-30,63140,2020-04-30,43.7472554,51.99332879999999,44.7,51.7,2020-04-30,44.7
101,2020-05-01,64902,2020-05-01,43.922292142857145,49.56884071428572,43.857142857142854,49.42857142857143,2020-05-01,43.857142857142854
102,2020-05-02,66485,2020-05-02,45.147045875,51.69317362499999,45.225,52.2625,2020-05-02,45.225
103,2020-05-03,67816,2020-05-03,42.97844807692307,53.01590215384614,44.15384615384615,52.53846153846154,2020-05-03,44.15384615384615
104,2020-05-04,68905,2020-05-04,44.5569988,51.91409209999999,45.3,51.4,2020-05-04,45.3
105,2020-05-05,71139,2020-05-05,44.50891944444444,51.68834883333333,44.772222222222226,51.83888888888888,2020-05-05,44.772222222222226
106,2020-05-06,73847,2020-05-06,44.68283055555556,51.47445577777778,46.333333333333336,51.55555555555556,2020-05-06,46.333333333333336
107,2020-05-07,75805,2020-05-07,44.08461357142857,51.89339771428571,45.142857142857146,51.714285714285715,2020-05-07,45.142857142857146
108,2020-05-08,77380,2020-05-08,42.3798575,53.6723652,42.5,53.5,2020-05-08,42.5
109,2020-05-09,78834,2020-05-09,42.55090942857144,53.18970778571428,42.82142857142857,52.607142857142854,2020-05-09,42.82142857142857
110,2020-05-10,79765,2020-05-10,43.348980000000005,51.96182241666666,44.25,51.416666666666664,2020-05-10,44.25
111,2020-05-11,80747,2020-05-11,44.51318500000001,51.46482628571429,45.57142857142857,51.285714285714285,2020-05-11,45.57142857142857
112,2020-05-12,82400,2020-05-12,43.86335031249999,52.826080687499996,44.21875,53.268750000000004,2020-05-12,44.21875
113,2020-05-13,84168,2020-05-13,45.14977177777778,51.28340877777778,45.888888888888886,51.44444444444444,2020-05-13,45.888888888888886
114,2020-05-14,85906,2020-05-14,44.245332272727275,51.84421999999999,46.27272727272727,52.09090909090909,2020-05-14,46.27272727272727
115,2020-05-15,87499,2020-05-15,42.632400125000004,53.612781000000005,42.625,53.5,2020-05-15,42.625
116,2020-05-16,88724,2020-05-16,43.334545875,53.393173624999996,43.4125,53.9625,2020-05-16,43.4125
117,2020-05-17,89568,2020-05-17,43.173657999999996,53.24188192307692,44.38461538461539,52.69230769230769,2020-05-17,44.38461538461539
118,2020-05-18,90414,2020-05-18,42.98183986666666,53.26459106666666,43.0,54.13333333333333,2020-05-18,43.0
119,2020-05-19,91934,2020-05-19,41.73077235714286,54.32805607142858,42.278571428571425,54.50714285714285,2020-05-19,42.278571428571425
